_runtime,_step,_timestamp,baseline/pretrained_lenient,baseline/pretrained_strict,baseline/random_proj_lenient,baseline/random_proj_strict,epoch,train/backbone_lr,train/loss,train/proj_lr,val_gen/accuracy_lenient,val_gen/accuracy_strict,val_gen/hmdb51_lenient,val_gen/hmdb51_strict,val_gen/kinetics_lenient,val_gen/kinetics_strict,val_gen/qvid_lenient,val_gen/qvid_strict
17229.495348124,300,1776363591.0442646,,,,,1,3.122638813065571e-08,0.1728326110715443,3.12263881306557e-07,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
17745.471416847,310,1776364106.9298813,,,,,1,7.088179461267608e-11,0.2190552464141092,7.088179461267608e-10,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
18311.623585608,320,1776364622.9059057,,,,,1,2.5566570238142465e-08,0.23626178132740278,2.5566570238142464e-07,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
18949.616834199,330,1776365189.058027,,,,,1,1.0742457712361986e-07,0.4370629724671744,1.0742457712361987e-06,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
19442.207196389,340,1776365827.051448,,,,,1,2.447174185242324e-07,0.1781878186725862,2.4471741852423237e-06,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
19971.179682605,350,1776366319.641681,,,,,1,4.358895116874745e-07,0.30952037044507963,4.358895116874745e-06,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
20484.201831564,360,1776366848.614214,,,,,1,6.787748004093147e-07,0.16896576530716628,6.787748004093148e-06,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
21041.61019369,370,1776367361.636173,,,,,1,9.706212973164987e-07,0.23705229113975293,9.706212973164986e-06,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
21528.553471887,380,1776367919.0447083,,,,,1,1.308122264983121e-06,0.1783186952763117,1.308122264983121e-05,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
22033.112650709,390,1776368405.9880064,,,,,1,1.6874536825869808e-06,0.20577724857530483,1.6874536825869806e-05,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
22609.271138152,400,1776368910.5470839,,,,,1,2.104317573593475e-06,0.2861513512194051,2.104317573593475e-05,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
22975.946190558,410,1776369486.7056563,,,,,1,2.553990703547147e-06,0.2790372602509706,2.553990703547147e-05,0.8,0.72,1,1,0.6190476190476191,0.6190476190476191,0.75,0.25
